Participant ID,Stim ID,Trial Condition,MCQ,recall score,recall
1,stimuli1,A.30s,0.8,0.6,initiate a bicycling program， with distributing free helmets. The goal of the program is alleviating traffic congestion.
1,stimuli2,A.30s,0.8,0.8,Initiate a STEM program for students to learn about the cutting-edge technologies. Parents support the program because they think the program can help students be prepared for the job market.
1,stimuli3,A.30s,0.2,0.6,A garden program which residents can grow vegetables and fruits in these gardens. The government hopes this program can reduce carbon footprint.
1,stimuli4,B.60s,0.8,0.8,A suistable life style including three actions， use less single-use plastics， meal planning and a bin in backyard.
1,stimuli5,B.60s,1,0.8,Start a fitness plan， including three key components. Managable goals， a partner， and reasonal rest day.
1,stimuli6,B.60s,0.8,0.6,Read a book named Journey Within. The reader gets fun while reading the book. He/She also thinks about his own life. He wants others to share the books they read recently.
1,stimuli7,C.90s,1,0.8,A technology detox activity. Not means totally give up techonoly， but find a balance. Set tech free zone in home. Take a walk in the morning. Ask others to start from a small thing.
1,stimuli8,C.90s,0.8,0.8,Use mindful cooking to relax and enjoy life. Notice the color and texture of ingredients， and the voice of cooking.
1,stimuli9,C.90s,1,1,The concept of minimalist travelling. Just take essentials and multipurpose items. This can reduce the laoad of traveling between cities. And enjoy scenary more， instead of taking care of possesions.
2,stimuli1,A.30s,0.8,0.5,an article about city's expansion of public bicycle program
2,stimuli2,A.30s,0.2,0.5,school student and parents like the STEM program
2,stimuli3,B.60s,0.4,0.7,city garden plan let citizens grow their own plants and encourage community connected with each other
2,stimuli4,B.60s,0.6,0.7,"a sharing for reducing waste, for example, food waste, plastic ba g"
2,stimuli5,B.60s,0.6,0.7,"workout experience sharing, keep a banlance fit plan, instead of burning out"
2,stimuli6,C.90s,1,0.7,"a sharing for speaker's last impression book, it is about self-growth, self-perception,the author encourgage others to share their favorite books"
2,stimuli7,C.90s,0.8,0.8,"digital detox time is good, make a no-tech zone, help improve sleep quality, encouage others to try"
2,stimuli8,C.90s,0.8,0.8,"mindful cooking  can be an enjoyable activaity and make people relaxed, rather than just cook for living"
2,stimuli9,A.30s,0.6,0.6,a article about how to have a nice and cheap trip
3,stimuli1,B.60s,0.8,0.8,the goverment launch a program to encourage citizens riding bicycle. they encourage people riding in the nearby trip. and they will add more areas for the bikes. besides， the bikes are equiped with many technology to ensure the safety like gps or light.
3,stimuli2,A.30s,0.6,0.7,the school launch a program to promote students learn about robotics. they will provide some mentorship and provide some courses including coding， solving problems and eletronics.
3,stimuli3,A.30s,0.8,0.7,the city plan to build more community garden. residentials can grow their own fruits or vegetables in the garden. the project can help the residentials come to the garden and become more familiar with each other.
3,stimuli4,A.30s,0.4,0.6,the author plan to do a sustainable lifestyle in his/her daily routine， including reducing the food waste， using plastic bags.
3,stimuli5,C.90s,0.8,0.8,the author introduce his/her way to keep fit. he/she think the first is to set up a attainable goal. and then a workout partner is helpful. consistency and balance are both important.
3,stimuli6,C.90s,1,0.6,the writer introduce a book he/she write named the journey within. the book is about self growth and discover. he/she think this book change his perspectives. and he/she asked if there is a lasting moving book the others read. they can exchange their ideas.
3,stimuli7,C.90s,1,0.8,the author introduce a new try in his/her daily life， named digital detox. he/she tried to design a tech-zero area in his/her house， like the dining table or the bedroom.
3,stimuli8,B.60s,0.8,0.7,the person said cooking is what he/she will do everyday and he think enjoying the cooking is very important and helpful. it is a relaxing process and after he focus on the cooking process， he think the taste is better and he can relax himself.
3,stimuli9,B.60s,0.8,0.7,the author think minimalist travel is very important. the first thing is to plan carefully， and minimalist travel can help he/she more enjoy the travel. He can find some passion like focusing on the scene or the achitecture.
4,stimuli1,C.90s,0.8,0.7,eco-friendlly program is going to be launched next months， some bikes will be added into the street. These program aims to encourage people to use bike instead of driving car， especially for a short diistance roadway travel.
4,stimuli2,C.90s,0.8,0.7,A high school will launch a robtics programs to teach students understand some knowledge about robots and help them find some adcanced career in the STEM areas. Students have chance to learn some cources about coding，electronics， problem-solving. And they can participate some compititions. Parents think this program is useful and meaning for their children's career findings. This program may can be launced continuely.
4,stimuli3,C.90s,0.8,0.7,the community graden projects is growing and more neighbors will join. this project began 5 years ago， and plan to add more garden sites in the regions people need. people in the garden can plant fruits by themselevs and they have chances to meet each other. this projects also provide some volunteers to teaching them planting fruits by eco-friendly ways. goverments also encourage this project， because it can reduce the carbon.
4,stimuli4,A.30s,0.4,0.6,author begin to change his live， on the one hand， he plan to reduce his reliance to single-used plastis. on the other hand ， he try to not waste foods
4,stimuli5,A.30s,0.8,0.6,author introduce some way to maintain consistency with the workout regiment， and changed partner change his life in some aspects.
4,stimuli6,A.30s,1,0.5,"The author introduced a book, which introduced some viewpoints between people and brought great inspiration to the author. He has other favorite episodes that made him reflect on some of his attitudes in life."
4,stimuli7,B.60s,1,0.5,writer makes two plans， aiming to overcome his digital detox. One is reading some physical book instead of taking his phone. And the other is .....
4,stimuli8,B.60s,0.4,0.7,wirter likes cooking ， he think it is a relaxing activity， and he want to make cooking as a creative way . for this， he buy some ingredient and py attention to their festures like color and so on. And he will listen to some relative vedio to make the cooking process more enjoyable.
4,stimuli9,B.60s,0.8,0.6,minimalist travel is a way not only physical load but also enhance writer's experience. He make a list about travel， so that he can prepare some needed objects into his bag before travelling......g
5,stimuli1,A.30s,1,0.6,city cycling program - promotion with free hemlet for public to encorage people to join - 20% of xxx
5,stimuli2,A.30s,0.6,0.7,STEM education in school - science， technology， engineering， mathematics; parents support this because of the career for students like job market. student can join national competions with robotics.
5,stimuli3,B.60s,0.6,0.5,city gardening community project - it allows people to grow the plants in the community
5,stimuli4,B.60s,1,0.6,small act for sustainablility - meal plan to prevent food waste - food waste for plants - small act is important
5,stimuli5,B.60s,0.8,0.7,3 strategies for fitness training - incremental progress， partner and rest - consistency
5,stimuli6,C.90s,0.8,0.6,The book is called the journey within; the author said this was about self-discovery and inspired to rethink the life decision， which is difficult to find a similar book like this entertaining and inspirational. the author asks other to share their favourite books.
5,stimuli7,C.90s,0.8,0.7,the author starts to have tech free space like bedroom and dinning room; the author suggests to have digital detox from small change.
5,stimuli8,C.90s,0.8,0.7,mindful cooking is about paying attention to the process of cooking， like the texture and color of the ingredients. The author use the first-person perspective to share the mindful cooking process like how they stir and make the food can be a way to take care of him or herself.
5,stimuli9,A.30s,0.6,0.6,travelling - list for preparation for the trip and plan early， so the author has less possessions to care about during the trip
6,stimuli1,B.60s,0.6,0.7,"For cycling activities, the city government will formulate some policies to promote this cycling activity, provide free helmets, and install GPS positioning programs and sufficient safety measures on the vehicles, which will also keep the number of people in this cycling project growing. growth, and finally tells us the benefits of this project, which can alleviate the city’s traffic problems and be better for the environment."
6,stimuli2,A.30s,0.6,0.7,"The school has launched a new activity about robots. This project will be implemented in the near future. At the same time, this project will involve a series of abilities such as programming, construction, teamwork, and problem solving. The students have shown great enthusiasm. , and parents are also very supportive"
6,stimuli3,A.30s,0.8,0.6,"Regarding community gardens, everyone can farm on them. At the same time, everyone’s universal interest in farming prompted the establishment of this community garden. People can harvest fruits and vegetables from it. This activity can also bring closer relationships between neighbors."
6,stimuli4,A.30s,0.8,0.6,"The author tells us about the changes he has made to promote sustainable development. For example, he will not use single-use plastic products and will replace plastic bags with other items. He also makes changes in food and only buys what he eats. Although this will reduce the flavor, it can also reduce unnecessary waste."
6,stimuli5,C.90s,0.6,0.6,"This is an explanation of his exercise plan by a person who loves sports. He tells us that it is important to pay attention to balance and persistence, and that we also need to find a partner who can promote our enthusiasm for exercise while also Can give us some good feedback to motivate us to continue completing our exercise goals."
6,stimuli6,C.90s,0.6,0.6,"This is probably about a reader's sharing. He told us about a book he recently read, a book about self-improvement. At the same time, he compared it with similar books he had read before and showed the author a different perspective. interest, and he also hopes that we can share some books we have read and like this book very much"
6,stimuli7,C.90s,1,0.7,"The author shared that he wants to make some resistance to digital life, or maybe more to seek a balance. He will take many feasible actions to achieve this goal: for example, he will walk or read paper when he gets up in the morning. Instead of focusing on social media, we cannot completely ban it, but seek a more balanced model of digital products and online life."
6,stimuli8,B.60s,0.8,0.7,"The author believes that cooking is a very important part of life, but he also introduces us to a new concept, which can be called concentrating on cooking. Then he will be very careful starting from the selection of ingredients, and he will also cut vegetables. Or be more careful and focused in the process. The final result will not only be a more delicious dish, but also bring other benefits such as relaxation."
6,stimuli9,B.60s,0.4,0.7,"The author used travel to introduce the topic of packing. He told us some tips, such as classifying clothes or using suitable suitcases. At the same time, packing also brings many benefits, which will make the trip more comfortable and comfortable. Convenient and fast"
7,stimuli1,C.90s,0.8,0.8,"This article describes the government's policy plan to expand the use of bicycles in cities, which will alleviate traffic congestion and be more ecologically friendly. They also plan to hold a seminar to introduce cycling safety and distribute free helmets."
7,stimuli2,C.90s,0.8,0.7,"This article describes a school that will hold a robot activity, with technology companies participating in the guidance, and the results can participate in the competition. The principal attaches great importance to this, believing that it can enhance students' STEM knowledge, accumulate experience for work, and become innovators and leaders in the future science and technology industry."
7,stimuli3,C.90s,1,0.7,"The topic of this article is the community park project. The government proposed it 5 years ago. More than 20 parks have been built, and 5 more parks are expected to be added. Citizens can grow their own vegetables and fruits in the park. There will be volunteers to help teach how to plant. At the same time, cultivation soil will be provided to citizens. The carbon footprint can be effectively reduced through this project. The project is supported by government funds and donations from social companies."
7,stimuli4,A.30s,0.8,0.7,"The author stated that he was contributing to green environmental protection, including using reusable bags to buy things, purchasing green food, and changing the way he travels, etc. He also expressed that he wanted to know what others have done about this and whether it can really make the world a better place. better"
7,stimuli5,A.30s,0.4,0.6,"The author shared his opinions on effective fitness, saying that you don’t have to do heavy exercises. Staying positive and motivated can help you achieve better fitness results."
7,stimuli6,A.30s,0.8,0.6,"The author shared a book he was reading recently, with the theme of self-improvement, and explained in detail why he was attracted to this book and its central content"
7,stimuli7,B.60s,0.8,0.7,"This article tells the story of how the author returned to the physical world in this highly information-based era, including creating a space without digital devices. These actions helped him obtain better private time and sleep quality, and finally provided suggestions for readers to help them Also try to make some changes"
7,stimuli8,B.60s,0.6,0.7,"This article tells the author's transformation process from thinking that cooking is an annoying chore to an interesting thing. She carefully felt her movements, changes in food and other factors during the cooking process, and realized the fun involved."
7,stimuli9,B.60s,1,0.7,"This article describes the author's love for lightweight travel. Since there are no complicated equipment, he can focus more on the travel itself and appreciate the scenery and people."
8,stimuli1,B.60s,0.6,0.7,"In order to meet the demand, the city is expanding its public bicycle project and is expected to increase the number of bicycles and equip them with GPS functions. And considering the safety of citizens, helmets are mentioned to ensure safety."
8,stimuli2,B.60s,0.8,0.7,"A school has launched a robotics project to provide students with programming, problem-solving courses and various competition opportunities to expose students to cutting-edge technology. Schools and parents hope that students will become important talents in the STEM field."
8,stimuli3,A.30s,0,0.5,Urban gardens where residents can plant flowers and socialize
8,stimuli4,A.30s,0.8,0.5,It’s a monologue. Place trash cans to reduce landfills and use less disposable plastics.
8,stimuli5,A.30s,0.4,0.4,"Related to fitness workout, set time"
8,stimuli6,C.90s,1,0.6,"The speaker shared a book about looking into one's own heart, inspiring the author to reflect on his own heart and express his appreciation for the book. Finally, everyone is encouraged to share other books."
8,stimuli7,C.90s,0.8,0.6,"The author describes his experience of leaving his mobile phone and returning to the real world, which gave him a good feeling. Readers are advised to create such an area in their home."
8,stimuli8,C.90s,0.8,0.7,"The author no longer regards cooking as a chore, but as a kind of relaxation and creation. From the color and aroma of the selected materials to the sound and touch of the production process, the author devoted himself wholeheartedly and felt them, which brought him a strong sense of pleasure."
8,stimuli9,B.60s,0.8,0.7,"The author has tried minimalist travel, which requires preparing multi-functional items and carefully arranging travel plans. Since there are fewer belongings, the author has more time to focus on the trip itself without thinking about the belongings, thus experiencing the joy of traveling."
9,stimuli1,C.90s,1,0.7,The city intends promote bike expansion and a safer bike riding practice. More bicycles will be added to different stations and helmets will be encouraged. The city officials spoke highly of this action.
9,stimuli2,B.60s,0.6,0.7,The school will start a Robotics Program， content of the program(coding， how to make robot， STEM)， cooperated with tech companies， the principal and students' parents spoke highly of this program， the future of the program
9,stimuli3,B.60s,0.8,0.7,The expansion of community gardens， the history of the gardens， what will different people do after these gardens are built(volunteers)， the benefits of the expansion of community gardens(reducing carbon footprint)， comments on this action(from city officials)
9,stimuli4,B.60s,1,0.6,three actions I took in order to lead a more sustainable and eco-friendly life(reduce the usage of single plastic items， minimize food waste-only buy food that I need， set up a bin in my backyard)， the author is also curious about what actions do other people take in order to live a sustainable life and he is willing to exchange ideas with others
9,stimuli5,A.30s,0.8,0.5,The author shared three improvements he made in daily workouts(incremental improvement， find a workout partner， place importance on rest and recovery)
9,stimuli6,A.30s,1,0.6,The author shared his/her thoughts on a book called The Journey Within and said that the character's thoughts sometimes resembled his/hers. He/she also wanted to hear what other people have read recently and their thoughts on books which have impressed them.
9,stimuli7,A.30s,0.4,0.5,The author set up a digital detox activity and gave some tips
9,stimuli8,C.90s,0.8,0.7,The author used to regard cooking as a chore， but recently she changed her attitude towards cooking which she called mindful cooking. She focused more about the process， the ingredients and she also shared some of her feelings while cooking. In the end， the author restate that she now consider cooking as a means of sparkling creativity and taking care of herself， and that the change of her attitude really make the experience more enjoyable.
9,stimuli9,C.90s,1,0.7,The author shared a way of travelling called the minimalist travel. The key of minimalist travel is careful packing， which emphasize on packing things that are versatile and multifuctional. The benefits brought to the author by adopting this way of travelling are that it makes him become more mindful and value more on experiences rather than material things.
10,stimuli1,B.60s,0.8,0.8,The City has launched a bike expansion campaign with 500 new bikes adding to the fleet and a few docking stations. This expansion aims to reduce air pollution and traffic congestion， enocuraging ridership among citizens， espescially for shorter trips. This expansion can facilitate the national's goal on neutraling carbon level by 2030. Most of the residents are supportive about the expansion， yet some have expressed concerns on the cost.
10,stimuli2,B.60s,0.8,0.8,The school has launced a campaign for students to learn and explore STEM related topics， including cooperating with tech companies to increase student's exposure， and encouragng students to compete in both national and regional competitions. The principal and parents have all showned their enthusiasm and support for the campaign as it can prepare the students for the future job market.
10,stimuli3,B.60s,0.8,0.7,The city has launched a garden campagin across the neigbourhood five years ago with over 20 exisiting gardens. They are now planning to build 5 more at places that are most needed. These gardens provide a place for neigbours to grow plants， gather and eat. They provide planting bases for the neiighbours to grow fruit and vegetables with the knowledge and skills taught from volunteers. The campaign is paid for by city grant and local businesses.
10,stimuli4,C.90s,1,0.8,The writter or blogger shared her experiences on making sustainable changes. First， she reduced her use of single use plastic. Second， she reduced food waste which is beneficial to the enviornment as well as her wallet. Third， she does meal planning. Fourth， she has a small compost bin， putting her food waste to use in her garden instead of throwing out to the landfills. At last， she asked the readers to share similar experiences or changes done towards sustainability and helping the environment.
10,stimuli5,C.90s,1,0.7,The writer has shared a few inshights he implements in his workout journey to keep him consistant. First， he sets attainable and realistic goals， so that he won't be overwhelmed by doing an intense work out everyday， but to break it down and be happy about every small progress he made. Second， to find a workout partner to motivate eachother， keep each other accountable， and remind each other regularly. Third， is to prioritise rest and recovery. Instead of working out every single day， take some rest days and let the body recovery as the writer said it has enhanced his muscle performance and overall well-being.
10,stimuli6,C.90s,1,0.7,The writer has shared about a recent book she read called The Journey Within， which has left a gargantuan impression on her. The author wrote about how a protaganist delt with complex emotional landscapes with topics like personal growth and self help.
10,stimuli7,A.30s,0.6,0.6,First， the writer has talked about the current digital devices landscape and how it affected us. Then he starts introducing his digital detox routine. First， he sets a setox zone in his home which he has found to improve his sleep quality and smth about meal.
10,stimuli8,A.30s,0.8,0.7,The writer shared her experiences on changing her persective on cooking from a chore to a enjoyable process， mindful cooking. When she cooks， she puts all her attention on to cooking. She looks closely at the fresh ingredients she picked wholeheartedly. She feels and connects with the food she's cooking throught her vision， smell and touch. Mindful cooking has made cooking far more fun and pleasing since then， and has also made the food more delicious.
10,stimuli9,A.30s,0.6,0.7,The writer has shared some benefits and insights on why minimalistc travelling is better. He talked about packing lighter and items with multiple functions as this reduces the burden when transporting and going around. Less is more.
11,stimuli1,C.90s,0.8,0.8,The article describes a plan of expanding its public bicyle program for a more eco-friendly urban environment. The new bikes will be lauched with additional bike stations as a part of the expansion. It is estimated to add 500 more bikes to the city next month. The new bikes will be equibtted with new features like GPS tracking. The city is also planning for new intiatives like workshops， distribution of halmets， etc. to promote safe driving.
11,stimuli2,C.90s,0.6,0.8,The school is introducing robotics programs to students as part of initiative plans of STEM education. The program will offer students with hands on experience of building robotics and interacting with them. The program will also incorporate classes like electronics， programming， mathematics as supplementary courses. The school will be partnering with local tech companies to offer mentorships. The principal of this university is excited about the program as he belives it will promote interests of students in STEM. The parents are also glad to see the intrudoction of this program because they think it will prepare the students to be more competitive in the future education and career.
11,stimuli3,A.30s,0.2,0.6,The article describes some topics related to garden sites in the city. The garden will allow people to rest there and relax themselves.
11,stimuli4,A.30s,0.6,0.7,The speaker calls for several sustainable changes. The first is to cut down on use of single-use plastics， The seond is to buy only necessary products. The third is to minimize waste by better planning for the meal. The speaker concludes the speech by making active provokes to people's sustainable actions.
11,stimuli5,A.30s,0.8,0.7,The speaker mentioned three points about tips in the workout. First is incremental improvements. Second is a workout partner. Third is rest and recovery.
11,stimuli6,B.60s,1,0.7,The author shares some thought of a book he recently finished called the journey within. It is a book about personal growth and self discovery. The author was struck by certain points in the book.
11,stimuli7,B.60s,0.8,0.6,The author describes the concept of digital detox. Digital detox does not necessarily mean that you need to avoid all digital devices use， but it focuses on a healthier balance. The author takes two steps in the process. Firstly， he sets a tech free zone in his house， specifically his bedroom and dining room so he can get better sleep and better dining experience， Scondly， he sets morining analog to focus on the phyisical activities so he can better connect with the world.
11,stimuli8,B.60s,0.8,0.7,Cooking is a routine task for the speaker but recently he finds a way to better enjoying it called mindful cooking. Mindful cooking is to pay full attention to the cooking process， enjoy the cooking and feel the scent and texture of the cooking materials. For exmaple， the author feels the smell and texture when cutting food materials， feel the touch of dough， etc. It makes the cooking more enjoyable and food more delicious.
11,stimuli9,C.90s,0.8,0.7,The author describes the reason for travelling with a minimal package for two main reasons. The first is to alliviate his mind. Travelling with minmal things enables him to worry less about things to carry and can save significant time for enjoying the journey. The second reason is to see a wider and more open world. Carrying less things can maximize the freedom of exploring the world. The author also mentioned his tricks for minmium packaging， including bringing outfits that are versatile and multifunctional and avoid unnecessary things as much as possible. Overall， travelling with minimized packeges is a greater way for us to explore the world.
12,stimuli1,C.90s,1,0.8,"The city government has launched an eco-friendly campaign. This activity puts public bicycles into every corner of the city. After the launch, the city’s carbon emissions were reduced. Next, the government will continue to promote this event, including holding workshops, distributing free helmets and other means."
12,stimuli2,B.60s,0.8,0.8,"The article mentioned that a school held a robotics project to promote students' STEM education. This project includes courses in electronics, machines, problem solving, etc., with the goal of cultivating more innovative talents for the social science and technology field."
12,stimuli3,B.60s,0.6,0.8,"This article introduces community garden projects. In this project, community residents can grow their favorite vegetables in the garden, and the garden will also hold regular activities to introduce some knowledge. This project can not only reduce carbon emissions, allow residents to enjoy their own grown vegetables, but also increase communication between residents and community vitality."
12,stimuli4,B.60s,0.8,0.8,"This article talks about a series of changes the author has made to protect the environment, including reducing the use of plastic bags and saving food. He plans how much food he can eat at each meal, wastes no food, and turns food scraps into useful fertilizer for the garden."
12,stimuli5,A.30s,0.6,0.7,"The author presents some exercise suggestions. This includes making plans, finding a workout partner, etc."
12,stimuli6,A.30s,0.8,0.7,"The author introduced a very inspiring book he had recently read, which was about self-discovery. He introduced the details of the book and had some interactions with the audience at the end."
12,stimuli7,A.30s,0.6,0.7,"The author has recently begun seeking to break away from the digital world and focus on the real world. He talked about his own strategies and practices, such as planning out areas in the home where electronic devices are prohibited, etc."
12,stimuli8,C.90s,0.6,0.8,"This article talks about meditative cooking. This is a new way of cooking that allows people to relax while cooking. When cooking with meditation, people will focus more on the various steps of cooking, such as the selection of ingredients, mixing, and the process of making food, instead of pursuing the task of completing the task quickly as usual. People can relax mentally while focusing on cooking."
12,stimuli9,C.90s,0.8,0.8,"The author mentioned that he recently discovered that traveling light is a good option. It allows you to avoid the tedious process of hauling luggage through security checks and travel between cities more conveniently. At the same time, you can focus more on the memories of your trip. One tip for packing less is to plan what you need to bring in advance and choose items that serve multiple functions."
13,stimuli1,B.60s,0.6,0.8,"The purpose of expanding non-motorized lanes is to create a green and sustainable environment, which will make more people prefer to ride bicycles instead of driving. Bicycles are equipped with GPS, which will promote short-distance travel within the city. It also establishes some workshops."
13,stimuli2,B.60s,0.8,0.8,"The robotics project cooperates with companies to provide students with opportunities, parent support and this project is related to STEM. The school hopes that this project can promote students' innovation ability and students are also very interested."
13,stimuli3,B.60s,0.6,0.8,"Community gardens can grow fruits and vegetables, and also provide residents with the opportunity to enjoy greenery in busy communities. The government is very interested in this project, which has also received support from some institutions. It also provides community residents with fresh Fruit, veggies and opportunities to chat, and reduce your carbon footprint"
13,stimuli4,C.90s,0.4,0.7,"In order to live a more sustainable life, the author changed disposable plastic bags into bags, and it also became more sustainable in eating. It hopes to build a community and hope to share opinions with sustainable people. The author He believes that his approach has indeed reduced waste in his life"
13,stimuli5,C.90s,0.4,0.8,"The author chooses to do more gentle exercise than strenuous exercise. He chooses to find exercise partners, which makes the exercise process less like a chore and more sustainable. The author also pays more attention to rest and recovery, and listens to the voice of his body. The author exercises to gain a healthier body"
13,stimuli6,C.90s,0.6,0.8,"The author recently read a book called Journey Within. He thinks this book is very rare and good. While reading the book, he can think of his own personal experiences in life. This book mainly introduces self-care and growth. He It has a good discussion on how complex emotions are generated. The author hopes to chat with fellow readers about books they are interested in, and has issued a call to action."
13,stimuli7,A.30s,0.6,0.7,It doesn’t mean giving up on technology completely. Improve your sleep in technology-free places like dining rooms and bedrooms.
13,stimuli8,A.30s,0.4,0.8,"Cooking every day, which used to be a task, is now seen as enjoyment and mindfulness, improving mental state, and choosing fresh protein (meat)"
13,stimuli9,A.30s,0.2,0.7,"Travel, a kind of minimalist travel, the joy of travel overcomes the fatigue of travel"
14,stimuli1,C.90s,0.8,0.6,reflective strips， bicycle with gps，eco- friendly，ridership increasing city officals，lifestyle
14,stimuli2,C.90s,1,0.6,stem，school partnered with companies students have opport unities to compete with regional and national robotic team，get prepared for the evolving job market，parents strong supprot
14,stimuli3,B.60s,0.6,0.6,20 garden sites now will add 5 more in the future，enviormental friendly how to grow vegetables and friuts ，it is important for many people
14,stimuli4,B.60s,0.4,0.6,replace single-once plastic bags with recyclable bags or containers ， produce less leftover，bin，every small steps make positive progress.
14,stimuli5,B.60s,0.4,0.7,set realistic and obtainable goal， have a work-out partner，add social element ，enjoy the rest day， listen to your body， balance，increment，
14,stimuli6,A.30s,0.4,0.6,personal exploration， journey within book recommendation
14,stimuli7,A.30s,0.6,0.6,digital devices， 0 zone ， sleep quality， morining， reading books
14,stimuli8,A.30s,0.2,0.6,cook， fresh ingredients， healthy， taste，enjoy
14,stimuli9,C.90s,0.8,0.7,light travel，package less，have a list of essenials，move from airports to cities，enjoy the destinations，dont have to bring much luagage
15,stimuli1,A.30s,0.6,0.6,the goverment place 500 bike in the fleet in response to eco-friendly transpotation trend. The gov wants to launch a bicycle campaign.
15,stimuli2,C.90s,0.8,0.6,the school helps student to get involved in STEM subjects. The school cooperate with high-tec company and give students oppotunity to experience cutting-edge technology. Student participate in some events about robot. Parents agree with these events a lot.
15,stimuli3,C.90s,0.8,0.7,A community garden project is going to expand to other neighborhoods. 5 new garden will be bulit. Community garden provides people with vegetable， more green area. Volunteers will teach residents to plan. The project is funded by grant and donation.
15,stimuli4,C.90s,0.8,0.6,The author try a new lifesytle. He reduced the use of one-time plastic， only buys what his need to reduce waste and set up a special bin. Small action can make a big change.
15,stimuli5,B.60s,0.4,0.6,it is important not to workout too much in a short period，the coach open a new gym and look for partner，
15,stimuli6,B.60s,0.6,0.6,the author read a book， the book make him reflect on his own life experience and decision， he would like to share the book to the reader.
15,stimuli7,B.60s,0.6,0.7,the author try to a new lifesytle that live with less electric product and return to the physic world. He place something in his dining area. He got a better sleep， picked up his hobby and interest and lived a happier life.
15,stimuli8,A.30s,0.6,0.6,The author start to cook himself. He consider about the ingredient and food. He do something to the dough.
15,stimuli9,A.30s,0.2,0.6,travelling is author's passion. author like to plan his travel. Author's travel is multipurpose.
16,stimuli1,A.30s,0.4,0.5,It want to promote environment-friendly transportation
16,stimuli2,A.30s,0.6,0.6,Encourage studetns to find career in STEM
16,stimuli3,A.30s,0.6,0.5,5 gardens will be setted in most required place
16,stimuli4,B.60s,0.8,0.6,He choose reduce the use of single-use bags to protect the environment. Food waste
16,stimuli5,B.60s,0.8,0.6,"The writer think it is a good idea to exercise with others, set proper goal, balance"
16,stimuli6,B.60s,1,0.7,"The write think this book is very good, encourage others to shre their favorite book"
16,stimuli7,C.90s,1,0.7,"He wants to find a balance for digital things. Set a tech-zero zone, have a walk in the morning, better life quality"
16,stimuli8,C.90s,0.8,0.7,The writer starts to take cooking as a enjoyable thing. Mindful cooking brings relaxment
16,stimuli9,C.90s,1,0.7,He think planning is important for traveling. Especially for multi-purpose
17,stimuli1,B.60s,0.8,0.6,promote bicycle travel， 3yrs ago 20% incease last year， safer bike， launch campaign
17,stimuli2,B.60s,1,0.6,robot class for student， professional support， favoured by principal parents， summer camp in the future
17,stimuli3,C.90s,0.8,0.6,20+5 new garden ，good for environment neibourhood and health， official happy about this initial
17,stimuli4,C.90s,0.8,0.6,reduce plastic waste by using bags， reduce food waste by meal plannin， use food waste in garden
17,stimuli5,C.90s,0.8,0.6,tips for getting fit:1realistic goal 2workout partner 3relax and rest
